	TF	FBgn	Symbol	Score
0	FBgn0036179	FBgn0051774	fred	30.5046
1	FBgn0036179	FBgn0266902	CR45362	30.2202
2	FBgn0036179	FBgn0051862	CG31862	30.0917
3	FBgn0036179	FBgn0015609	CadN	29.6972
4	FBgn0036179	FBgn0260451	CG14042	29.5138
5	FBgn0036179	FBgn0260470	SP555	29.5138
6	FBgn0035625_3	FBgn0265814	CR44603	21.7414
7	FBgn0000028	FBgn0085422	CG34393	18.127
8	FBgn0036179	FBgn0266521	stai	29.2202
9	FBgn0086910	FBgn0085450	Snoo	25.8485
10	FBgn0036179	FBgn0085450	Snoo	29.1009
11	FBgn0086910_2	FBgn0003963	ush	22.1148
12	FBgn0086910_2	FBgn0028481	CG4341	22.1148
13	FBgn0086910_2	FBgn0028481	CG4341	22.1148
14	FBgn0086910_2	FBgn0028481	CG4341	22.1148
15	FBgn0086910_2	FBgn0028481	CG4341	22.1148
16	FBgn0086910_2	FBgn0031450	Hrs	22.1148
17	FBgn0086910_2	FBgn0031449	CG31689	22.1148
18	FBgn0086910_2	FBgn0031450	Hrs	22.1148
19	FBgn0086910_2	FBgn0031449	CG31689	22.1148
20	FBgn0086910_2	FBgn0041111	lilli	22.1148
21	FBgn0086910_2	FBgn0041111	lilli	22.1148
22	FBgn0086910_2	FBgn0051774	fred	22.1148
23	FBgn0086910_2	FBgn0051774	fred	22.1148
24	FBgn0086910_2	FBgn0051774	fred	22.1148
25	FBgn0086910_2	FBgn0051774	fred	22.1148
26	FBgn0086910_2	FBgn0051774	fred	22.1148
27	FBgn0086910_2	FBgn0051774	fred	22.1148
28	FBgn0086910_2	FBgn0051774	fred	22.1148
29	FBgn0086910_2	FBgn0051774	fred	22.1148
30	FBgn0086910_2	FBgn0051774	fred	22.1148
31	FBgn0086910_2	FBgn0051774	fred	22.1148
32	FBgn0086910_2	FBgn0051774	fred	22.1148
33	FBgn0086910_2	FBgn0031592	Art2	22.1148
34	FBgn0086910_2	FBgn0031592	Art2	22.1148
35	FBgn0086910_2	FBgn0031592	Art2	22.1148
36	FBgn0086910_2	FBgn0031592	Art2	22.1148
37	FBgn0086910_2	FBgn0031592	Art2	22.1148
38	FBgn0086910_2	FBgn0010473	tutl	22.1148
39	FBgn0086910_2	FBgn0031602	CG15431	22.1148
40	FBgn0086910_2	FBgn0031602	CG15431	22.1148
41	FBgn0086910_2	FBgn0031627	CG15630	22.1148
42	FBgn0086910_2	FBgn0051913	CG31913	22.1148
43	FBgn0086910_2	FBgn0031738	CG9171	22.1148
44	FBgn0086910_2	FBgn0085409	CG34380	22.1148
45	FBgn0086910_2	FBgn0053531	Ddr	22.1148
46	FBgn0086910_2	FBgn0031865	Nha1	22.1148
47	FBgn0086910_2	FBgn0031865	Nha1	22.1148
48	FBgn0086910_2	FBgn0031865	Nha1	22.1148
49	FBgn0086910_2	FBgn0031918	CG6055	22.1148
50	FBgn0086910_2	FBgn0031918	CG6055	22.1148
51	FBgn0086910_2	FBgn0031918	CG6055	22.1148
52	FBgn0086910_2	FBgn0031918	CG6055	22.1148
53	FBgn0086910_2	FBgn0260486	Ziz	22.1148
54	FBgn0086910_2	FBgn0260486	Ziz	22.1148
55	FBgn0086910_2	FBgn0264895	RapGAP1	22.1148
56	FBgn0086910_2	FBgn0045038	Proc	22.1148
57	FBgn0086910_2	FBgn0085450	Snoo	22.1148
58	FBgn0086910_2	FBgn0085450	Snoo	22.1148
59	FBgn0086910_2	FBgn0085450	Snoo	22.1148
60	FBgn0086910_2	FBgn0085450	Snoo	22.1148
61	FBgn0086910_2	FBgn0011259	Sema	22.1148
62	FBgn0086910_2	FBgn0011259	Sema	22.1148
63	FBgn0086910_2	FBgn0011259	Sema	22.1148
64	FBgn0086910_2	FBgn0011259	Sema	22.1148
65	FBgn0086910_2	FBgn0011259	Sema	22.1148
66	FBgn0086910_2	FBgn0002973	numb	22.1148
67	FBgn0086910_2	FBgn0032151	nAChRalpha6	22.1148
68	FBgn0086910_2	FBgn0032151	nAChRalpha6	22.1148
69	FBgn0086910_2	FBgn0032151	nAChRalpha6	22.1148
70	FBgn0086910_2	FBgn0032151	nAChRalpha6	22.1148
71	FBgn0086910_2	FBgn0032151	nAChRalpha6	22.1148
72	FBgn0086910_2	FBgn0032271	CG7329	22.1148
73	FBgn0086910_2	FBgn0032271	CG7329	22.1148
74	FBgn0086910_2	FBgn0032271	CG7329	22.1148
75	FBgn0086910_2	FBgn0020309	crol	22.1148
76	FBgn0086910_2	FBgn0020309	crol	22.1148
77	FBgn0086910_2	FBgn0020309	crol	22.1148
78	FBgn0086910_2	FBgn0001961	Arpc1	22.1148
79	FBgn0086910_2	FBgn0001961	Arpc1	22.1148
80	FBgn0086910_2	FBgn0283651	CG46301	22.1148
81	FBgn0086910_2	FBgn0283651	CG46301	22.1148
82	FBgn0086910_2	FBgn0283651	CG46301	22.1148
83	FBgn0086910_2	FBgn0259213	CG42313	22.1148
